token,logprob_actual,logprob_max,entropy,most_likely_token
se,-9.154272079467773,-1.8126015663146973,4.671260833740234,1
it,-0.20309090614318848,-0.20309090614318848,1.0281869173049927,it
Ġletz,-7.052108287811279,-1.3588614463806152,3.3927693367004395,Ġdem
ter,-0.515948474407196,-0.515948474407196,1.0160375833511353,ter
Ġwo,-6.053041934967041,-0.2155347764492035,0.9876422882080078,ĠWoche
che,-0.00017534149810671806,-0.00017534149810671806,0.0023103496059775352,che
Ġhabe,-3.5120887756347656,-2.103506088256836,5.249350070953369,Ġist
Ġich,-0.018256250768899918,-0.018256250768899918,0.18570148944854736,Ġich
Ġeine,-2.46018385887146,-2.46018385887146,4.8149003982543945,Ġeine
Ġneue,-1.0792127847671509,-1.0792127847671509,4.673038482666016,Ġneue
Ġfunktion,-11.081897735595703,-0.7508087754249573,3.7240402698516846,Ġfreund
Ġin,-1.8338159322738647,-1.8338159322738647,3.877115249633789,Ġin
Ġmeinem,-1.2842271327972412,-1.2842271327972412,3.564228057861328,Ġmeinem
Ġleben,-2.54947829246521,-2.232431173324585,5.786789894104004,Ġhandy
.,-2.1494622230529785,-1.817442536354065,3.175123691558838,","
Ġich,-0.8714398145675659,-0.8714398145675659,3.557291030883789,Ġich
Ġbin,-1.0990006923675537,-1.0990006923675537,3.2087483406066895,Ġbin
Ġnun,-2.6638545989990234,-2.458348274230957,5.121913909912109,Ġeine
Ġauch,-2.555537700653076,-2.555537700653076,5.178178310394287,Ġauch
Ġein,-2.6465883255004883,-2.3937387466430664,5.269713878631592,Ġeine
Ġmit,-5.304701328277588,-1.990602970123291,5.786457538604736,Ġteil
gli,-0.09679433703422546,-0.09679433703422546,0.6613331437110901,gli
ed,-0.0011897159274667501,-0.0011897159274667501,0.010529885068535805,ed
Ġim,-2.906587600708008,-0.6183727979660034,1.8240561485290527,Ġder
Ġkre,-5.021326065063477,-2.2752039432525635,6.254645347595215,Ġclub
is,-0.9721468091011047,-0.5070951581001282,0.8212453722953796,ise
Ġder,-0.2811788320541382,-0.2811788320541382,1.7138866186141968,Ġder
ĠgroÃŁ,-7.045907974243164,-3.1318745613098145,6.40091609954834,"Ġ"""
el,-0.874372124671936,-0.874372124671936,2.3745341300964355,el
tern,-0.002085417043417692,-0.002085417043417692,0.022514428943395615,tern
.,-0.3458367586135864,-0.3458367586135864,1.4449577331542969,.
Ġeigentlich,-6.042515754699707,-2.046656847000122,4.668157577514648,Ġich
Ġwar,-2.738302707672119,-1.810152530670166,4.012163162231445,Ġwollte
Ġes,-1.3934452533721924,-1.138012170791626,2.325244426727295,Ġich
Ġnur,-2.784010887145996,-1.441860318183899,3.7605690956115723,Ġja
Ġeine,-0.3247121274471283,-0.3247121274471283,1.4029734134674072,Ġeine
Ġfr,-0.21920695900917053,-0.21920695900917053,1.4640462398529053,Ġfr
age,-0.002028790069743991,-0.002028790069743991,0.02168375253677368,age
Ġder,-0.011618920601904392,-0.011618920601904392,0.10344366729259491,Ġder
Ġzeit,-0.014405184425413609,-0.014405184425413609,0.15394964814186096,Ġzeit
",",-0.4804293215274811,-0.4804293215274811,1.3589935302734375,","
Ġbis,-0.6438690423965454,-0.6438690423965454,2.2342917919158936,Ġbis
Ġdiese,-4.254054546356201,-0.7603641748428345,2.3752431869506836,Ġes
Ġeh,-5.34853982925415,-1.8310084342956543,5.036927223205566,Ġsituation
re,-0.029593031853437424,-0.029593031853437424,0.15452352166175842,re
Ġz,-4.632199287414551,-0.7448263764381409,1.8839867115020752,Ġmir
ute,-0.3873565196990967,-0.3873565196990967,1.055015206336975,ute
il,-0.000364713923772797,-0.000364713923772797,0.004754825495183468,il
w,-1.080124020576477,-0.9157410860061646,1.3121895790100098,Ġwurde
ird,-1.5453726053237915,-0.2830244302749634,0.7183736562728882,ur
",",-1.2852089405059814,-0.5453312397003174,1.2881875038146973,.
Ġaber,-1.3504050970077515,-1.3504050970077515,3.4009957313537598,Ġaber
Ġtrotz,-2.064521312713623,-1.7748216390609741,3.7124407291412354,Ġich
dem,-0.009436173364520073,-0.009436173364520073,0.08503096550703049,dem
Ġhat,-3.0745046138763428,-1.5538794994354248,3.258531093597412,Ġfre
Ġmich,-1.825463056564331,-0.3288886547088623,1.1164038181304932,Ġes
Ġdas,-1.7367366552352905,-1.46219003200531,2.293670654296875,Ġder
Ġganze,-1.254398226737976,-1.254398226737976,3.4392943382263184,Ġganze
ĠÃ¼,-6.0082902908325195,-2.2411692142486572,3.667792320251465,Ġetwas
b,-0.05163969844579697,-0.05163969844579697,0.2718757092952728,b
erras,-0.04769256338477135,-0.04769256338477135,0.21490436792373657,erras
cht,-0.4126450717449188,-0.4126450717449188,0.6542564630508423,cht
.,-0.3673308491706848,-0.3673308491706848,1.2447445392608643,.
Ġmit,-5.350034713745117,-1.8482905626296997,4.472824573516846,Ġich
Ġmeiner,-3.175002098083496,-2.344808578491211,4.34341287612915,Ġdem
ĠÃ¤l,-6.034446716308594,-1.8424901962280273,4.604342460632324,Ġmut
ter,-1.2383219003677368,-0.355450302362442,0.6683732867240906,test
en,-0.011430253274738789,-0.011430253274738789,0.08263841271400452,en
Ġschw,-0.6256049871444702,-0.6256049871444702,1.497312307357788,Ġschw
ester,-0.052234891802072525,-0.052234891802072525,0.24014192819595337,ester
Ġwar,-3.833582639694214,-1.1012513637542725,3.3841543197631836,Ġund
Ġich,-0.7055190205574036,-0.7055190205574036,1.558131456375122,Ġich
Ġmir,-6.423879623413086,-2.689781427383423,4.473660469055176,Ġschon
Ġimmer,-3.0689854621887207,-2.021292209625244,3.981001377105713,Ġein
Ġein,-0.43628668785095215,-0.43628668785095215,1.619400143623352,Ġein
ig,-0.0001958416833076626,-0.0001958416833076626,0.002284536138176918,ig
",",-0.2071199119091034,-0.2071199119091034,0.8589012622833252,","
Ġdass,-0.1275312900543213,-0.1275312900543213,0.6690946817398071,Ġdass
Ġwir,-1.229206919670105,-1.229206919670105,2.9911251068115234,Ġwir
Ġnicht,-4.141376495361328,-1.888716459274292,3.937474250793457,Ġkeine
Ġfr,-5.459048271179199,-1.5117647647857666,3.8400566577911377,Ġso
Ã¼h,-0.0034089330583810806,-0.0034089330583810806,0.029333367943763733,Ã¼h
Ġgen,-1.4010722637176514,-1.4010722637176514,3.0121841430664062,Ġgen
ug,-0.0007468056865036488,-0.0007468056865036488,0.007116001099348068,ug
Ġoma,-6.7746124267578125,-1.517304539680481,3.5715556144714355,Ġkind
Ġwerden,-1.817847490310669,-0.6405212879180908,1.6603468656539917,Ġund
Ġwoll,-1.3798459768295288,-0.8522619009017944,1.7995810508728027,Ġwollen
ten,-0.0001629458274692297,-0.0001629458274692297,0.0022225934080779552,ten
.,-0.32819414138793945,-0.32819414138793945,1.030969500541687,.
Ġund,-2.970978021621704,-1.9132320880889893,4.489482402801514,Ġwir
Ġjetzt,-1.8722578287124634,-1.8722578287124634,3.9736251831054688,Ġjetzt
Ġist,-1.5698803663253784,-1.5698803663253784,3.6177210807800293,Ġist
Ġes,-0.22374723851680756,-0.22374723851680756,1.187381625175476,Ġes
Ġdoch,-2.4948835372924805,-1.6558771133422852,3.5287885665893555,Ġs

New Section
token,logprob_actual,logprob_max,entropy,most_likely_token
in,-7.316147327423096,-1.8126015663146973,4.671260833740234,1
Ġmeinem,-7.666783332824707,-0.36480697989463806,1.9312713146209717,Ġder
Ġletzten,-3.3248355388641357,-1.4288270473480225,4.814814567565918,ĠFall
Ġtra,-13.471677780151367,-1.5980565547943115,4.02144718170166,ĠNewsletter
um,-0.0751025602221489,-0.0751025602221489,0.4703027009963989,um
Ġhabe,-4.138342380523682,-1.73354971408844,4.280487060546875,Ġwar
Ġich,-0.015719899907708168,-0.015719899907708168,0.15916550159454346,Ġich
Ġmit,-3.405825614929199,-1.9116907119750977,4.419255256652832,Ġmich
Ġmeiner,-2.4668631553649902,-2.0626797676086426,3.89528751373291,Ġdir
Ġfreund,-2.0021491050720215,-1.7132563591003418,3.8886311054229736,Ġmut
in,-0.006273695267736912,-0.006273695267736912,0.05781460180878639,in
Ġzusammen,-3.8800745010375977,-1.5490808486938477,4.20394229888916,Ġgesch
